week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Tuesday,Steinway,1.0,1756.21,161,204.24134617720404
1,Tuesday,Stuyvesant Town-Cooper Village,1.0,1756.21,161,272.06881863712755
1,Tuesday,Sunset Park West,1.0,1756.21,161,180.4123265323152
1,Tuesday,Turtle Bay-East Midtown,17.833333333333332,31319.07833333333,2873,2714.124333521223
1,Tuesday,Upper East Side-Carnegie Hill,15.666666666666666,27513.956666666665,2524,2604.627225694517
1,Tuesday,Upper West Side,14.5,25465.045000000002,2336,2187.713174920656
1,Tuesday,West Village,16.0,28099.36,2578,2347.991138522332
1,Tuesday,Woodside,1.0,1756.21,161,177.2385741775624
1,Tuesday,Yorkville,13.0,22830.73,2095,1725.4446828554646
1,Tuesday,park-cemetery-etc-Manhattan,8.0,14049.68,1289,1137.159890887078
1,Wednesday,Airport,13.333333333333334,23416.133333333335,2148,2091.0358942214507
1,Wednesday,Astoria,1.0,1756.21,161,261.5108163452419
1,Wednesday,Battery Park City-Lower Manhattan,7.0,12293.470000000001,1128,1559.2839933286543
1,Wednesday,Brooklyn Heights-Cobble Hill,3.0,5268.63,483,297.3872610969195
1,Wednesday,Central Harlem North-Polo Grounds,1.0,1756.21,161,206.2975491430247
1,Wednesday,Central Harlem South,2.0,3512.42,322,323.6575788871544
1,Wednesday,Chinatown,11.0,19318.31,1772,1188.7811070682585
1,Wednesday,Clinton,10.333333333333334,18147.503333333334,1665,2252.896554781281
1,Wednesday,East Elmhurst,1.0,1756.21,161,195.7332486949616
1,Wednesday,East Harlem North,2.0,3512.42,322,330.1834564594195
1,Wednesday,East Harlem South,7.0,12293.470000000001,1128,597.348740115922
1,Wednesday,East Village,10.0,17562.1,1611,1865.540616284553
1,Wednesday,East Williamsburg,1.0,1756.21,161,200.9247331742241
1,Wednesday,Gramercy,7.0,12293.470000000001,1128,1528.7975676779906
1,Wednesday,Hudson Yards-Chelsea-Flatiron-Union Square,19.5,34246.095,3142,2962.427571680289
1,Wednesday,Hunters Point-Sunnyside-West Maspeth,7.0,12293.470000000001,1128,417.0436372743304
1,Wednesday,Jackson Heights,2.0,3512.42,322,219.91287446389308
1,Wednesday,Jamaica,1.0,1756.21,161,188.75850459528704
1,Wednesday,Kingsbridge Heights,1.0,1756.21,161,186.9263198012888
1,Wednesday,Lenox Hill-Roosevelt Island,15.0,26343.15,2417,2132.116356393251
1,Wednesday,Lincoln Square,13.0,22830.73,2095,1949.4840511459051
1,Wednesday,Lower East Side,2.0,3512.42,322,417.8802726177309
1,Wednesday,Midtown-Midtown South,24.53333333333333,43085.68533333333,3953,3731.591901289295
1,Wednesday,Morningside Heights,4.0,7024.84,644,766.8173573161741
